date,confirmed,recovered,dead,new_cases,active,imported
2020-03-04,28,3,0,23,25,15
2020-03-05,30,3,0,2,27,2
2020-03-06,31,3,0,1,28,1
2020-03-07,34,3,0,3,31,2
2020-03-08,39,3,0,5,36,3
2020-03-09,43,3,0,4,40,6
2020-03-10,56,4,0,13,52,2
2020-03-11,62,4,1,6,57,7
2020-03-12,73,4,1,11,68,10
2020-03-13,82,4,2,9,76,5
2020-03-14,102,4,2,20,96,11
2020-03-15,113,13,2,11,98,5
2020-03-16,119,13,2,6,104,12
2020-03-17,142,14,3,23,125,14
2020-03-18,156,14,3,14,139,21
2020-03-19,194,15,4,38,175,27
2020-03-20,244,20,5,50,219,34
2020-03-21,330,23,4,86,303,35
2020-03-22,396,27,7,66,362,45
2020-03-23,499,27,10,103,462,55
2020-03-24,536,40,10,37,486,38
2020-03-25,657,43,12,121,602,34
2020-03-26,727,45,20,70,662,24
2020-03-27,887,73,20,160,794,40
2020-03-28,987,84,24,100,879,16
2020-03-29,1024,95,27,37,902,20
2020-03-30,1251,102,32,227,1117,11
2020-03-31,1397,123,35,146,1239,20
2020-04-01,1998,148,58,601,1792,7
2020-04-02,2543,191,72,545,2280,8
2020-04-03,2567,192,72,24,2303,6
2020-04-04,3082,229,86,515,2767,3
2020-04-05,3588,229,99,506,3260,1
2020-04-06,4778,375,136,1190,4267,0
2020-04-07,5311,421,150,533,4740,0
2020-04-08,5916,506,178,605,5232,0
2020-04-09,6725,620,226,809,5879,0
2020-04-10,7598,774,246,873,6578,0
2020-04-11,8446,969,288,848,7189,0
2020-04-12,9205,1080,331,759,7794,0
2020-04-13,10453,1181,358,1248,8914,0
2020-04-14,11487,1359,393,1034,9735,0
2020-04-15,12322,1432,405,835,10485,0
2020-04-16,13430,1768,448,1108,11214,0
2020-04-17,14352,2041,486,922,11825,0
2020-04-18,15722,2463,521,1370,12738,0
2020-04-19,17615,2854,559,1893,14202,0
2020-04-20,18539,3273,592,924,14674,0
2020-04-21,20080,3975,645,1541,15460,0
2020-04-22,21370,4370,681,1290,16319,0
2020-04-23,23077,5012,721,1707,17344,0
2020-04-24,24530,5498,780,1453,18252,0
2020-04-25,26283,5939,825,1753,19519,0
