date,lag
27/3/20,2
30/3/20,3
31/3/20,2
31/3/20,2
31/3/20,2
31/3/20,2
31/3/20,2
31/3/20,2
31/3/20,3
31/3/20,3
31/3/20,3
31/3/20,3
31/3/20,3
31/3/20,3
31/3/20,4
31/3/20,4
31/3/20,5
31/3/20,7
31/3/20,7
31/3/20,8
31/3/20,9
31/3/20,10
1/4/20,1
1/4/20,1
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,2
1/4/20,3
1/4/20,3
1/4/20,4
2/4/20,2
5/4/20,3
7/4/20,5
7/4/20,7
8/4/20,1
8/4/20,7
10/4/20,2
10/4/20,2
10/4/20,3
11/4/20,3
12/4/20,5
16/4/20,7
16/4/20,5
17/4/20,2
17/4/20,2
17/4/20,2
17/4/20,3
