a_i,p_a,f_a,gamma,delta_a,beta,beta_lower_CI,beta_upper_CI,delta,delta_lower_CI,delta_upper_CI,E0,E0_lower_CI,E0_upper_CI,I0,I0_lower_CI,I0_upper_CI,a,a_lower_CI,a_upper_CI,lambda,lambda_lower_CI,lambda_upper_CI,kappa,kappa_lower_CI,kappa_upper_CI,r0,r0_lower_CI,r0_upper_CI,RMS,Prediction Error
0.25,0,5.0000000000000003e-002,0.19600000000000001,0.125,1.7430000000000001,1.585,1.899,0.44400000000000001,0.41899999999999998,0.45400000000000001,68,30,116,57,38,78,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.4999999999999997e-003,3.9256756756756759,3.7828162291169454,4.1828193832599121,122.864,70.298000000000002
0.25,0,0.10000000000000001,0.19600000000000001,0.125,1.742,1.5860000000000001,1.915,0.443,0.41799999999999998,0.45400000000000001,68,28,114,57,37,79,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.84e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9322799097065464,3.794258373205742,4.2180616740088102,122.864,70.298000000000002
0.25,0,0.20000000000000001,0.19600000000000001,0.125,1.7390000000000001,1.569,1.9059999999999999,0.443,0.41899999999999998,0.45500000000000002,70,28,117,57,37,78,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9255079006772009,3.7446300715990453,4.1890109890109883,122.864,70.298000000000002
0.25,0.20000000000000001,5.0000000000000003e-002,0.19600000000000001,0.125,1.919,1.75,2.0960000000000001,0.441,0.41599999999999998,0.45400000000000001,56,35,95,43,28,58,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.2169999999999996,3.8069999999999999,4.6760000000000002,118.008,76.415999999999997
0.25,0.20000000000000001,0.10000000000000001,0.19600000000000001,0.125,1.9279999999999999,1.756,2.1070000000000002,0.441,0.41799999999999998,0.45300000000000001,57,37,100,42,27,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.194,3.7869999999999999,4.633,118.119,76.334000000000003
0.25,0.20000000000000001,0.20000000000000001,0.19600000000000001,0.125,1.931,1.7549999999999999,2.1219999999999999,0.44,0.40699999999999997,0.45100000000000001,54,36,100,42,27,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.1299999999999999,3.7040000000000002,4.5890000000000004,118.137,76.343999999999994
0.25,0.40000000000000002,5.0000000000000003e-002,0.19600000000000001,0.125,1.8080000000000001,1.677,1.9670000000000001,0.44700000000000001,0.432,0.45400000000000001,47,19,103,55,37,68,4.0000000000000001e-002,3.5000000000000003e-002,4.4999999999999998e-002,1.9099999999999999e-002,1.83e-002,1.9699999999999999e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,3.8010000000000002,3.5169999999999999,4.173,119.57299999999999,73.350999999999999
0.25,0.40000000000000002,0.10000000000000001,0.19600000000000001,0.125,1.9079999999999999,1.7470000000000001,2.0840000000000001,0.443,0.42199999999999999,0.45200000000000001,47,26,93,44,29,59,4.2999999999999997e-002,3.7999999999999999e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9900000000000001e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,3.9630000000000001,3.597,4.3819999999999997,118.333,76.685000000000002
0.25,0.40000000000000002,0.20000000000000001,0.19600000000000001,0.125,1.9099999999999999,1.7649999999999999,2.0899999999999999,0.443,0.42399999999999999,0.45100000000000001,43,20,87,44,30,58,4.2000000000000003e-002,3.6999999999999998e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9900000000000001e-002,4.5999999999999999e-003,4.3e-003,5.0000000000000001e-003,3.8109999999999999,3.4870000000000001,4.1900000000000004,118.09699999999999,76.584999999999994
0.25,0.59999999999999998,5.0000000000000003e-002,0.19600000000000001,0.125,1.9079999999999999,1.7689999999999999,2.0539999999999998,0.44600000000000001,0.42199999999999999,0.5,34,1,79,46,32,58,4.0000000000000001e-002,3.5999999999999997e-002,4.3999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,3.887,3.5859999999999999,4.1859999999999999,117.91,76.441000000000003
