a_i,p_a,f_a,lockdownrelief_percent,new_beta,new_f_a,nDet_T1,nDet_T1_lower_CI,nDet_T1_upper_CI,nTotal_T1,nTotal_T1_lower_CI,nTotal_T1_upper_CI,nSymp_T1,nSymp_T1_lower_CI,nSymp_T1_upper_CI,nDet_T2,nDet_T2_lower_CI,nDet_T2_upper_CI,nTotal_T2,nTotal_T2_lower_CI,nTotal_T2_upper_CI,nSymp_T2,nSymp_T2_lower_CI,nSymp_T2_upper_CI,nDet_T3,nDet_T3_lower_CI,nDet_T3_upper_CI,nTotal_T3,nTotal_T3_lower_CI,nTotal_T3_upper_CI,nSymp_T3,nSymp_T3_lower_CI,nSymp_T3_upper_CI,nDet_T4,nDet_T4_lower_CI,nDet_T4_upper_CI,nTotal_T4,nTotal_T4_lower_CI,nTotal_T4_upper_CI,nSymp_T4,nSymp_T4_lower_CI,nSymp_T4_upper_CI,nDet_T5,nDet_T5_lower_CI,nDet_T5_upper_CI,nTotal_T5,nTotal_T5_lower_CI,nTotal_T5_upper_CI,nSymp_T5,nSymp_T5_lower_CI,nSymp_T5_upper_CI,nDet_T6,nDet_T6_lower_CI,nDet_T6_upper_CI,nTotal_T6,nTotal_T6_lower_CI,nTotal_T6_upper_CI,nSymp_T6,nSymp_T6_lower_CI,nSymp_T6_upper_CI,nDet_T7,nDet_T7_lower_CI,nDet_T7_upper_CI,nTotal_T7,nTotal_T7_lower_CI,nTotal_T7_upper_CI,nSymp_T7,nSymp_T7_lower_CI,nSymp_T7_upper_CI
0.5,0.2,0.1,20.0,100,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,116803,104576,128808,465556,401930,548577,114963,102832,126852,9789161,5995000,15963998,47132721,26437390,83687449,9660179,5915243,15758350,443923085,274754423,637465972,1053941896,798382859,1232853291,437260765,270529025,627532516,1012862408,956391974,1050240016,1300515590,1281912060,1312992700,991503329,937307091,1027117793,1068940838,1058270767,1076852144,1307839901,1298431779,1315384487,1043509603,1033375852,1051026365,1072657786,1065310809,1078625371,1308504331,1299899462,1315601470,1046588936,1039469108,1052387880,
0.5,0.4,0.1,40.0,100,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,141802,130513,153753,638489,548676,748478,136298,125379,147939,11709216,7069665,18561820,60021800,33276161,101142524,11317984,6827455,17954827,421957160,269579400,565842442,1080879783,837506238,1229495565,405402288,259556802,542462496,803564031,767936881,824834783,1295831112,1275192800,1308642317,758998528,727455888,777412020,832539482,824089180,838482087,1304230909,1293932268,1311863199,781464959,774047912,786693107,835025035,828882063,839687772,1305157601,1295922658,1312231887,782974524,777300604,787291570,
0.5,0.6,0.1,60.0,100,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,175900,156775,196455,1017547,844282,1223635,161874,143995,181111,17692432,9777143,29487761,109897773,57563954,189941408,16431585,9066128,27414571,408763976,298069985,492898597,1175721275,1008809702,1265134073,371972161,273028981,445673495,585388976,568609965,595606174,1296713448,1278623037,1308340047,514442765,501936281,521677808,598072442,592103805,602257972,1303102442,1292188264,1310975905,520898010,516156988,524244501,599597583,594835196,603090952,1303888195,1293849548,1311300276,521510015,517443406,524501367,
0.5,0.8,0.1,80.0,100,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,211133,184280,240526,1803650,1500407,2184290,172145,149318,197186,20664457,11706527,33503151,180027164,100277840,296169036,17109590,9603273,27799812,275201415,226229556,310146990,1193915844,1083239679,1257492276,213928410,178001608,237580788,352288175,343165201,358546528,1285752207,1266971795,1298785741,255927026,250895906,259158684,360839527,356742189,363890320,1292774057,1280459930,1302189226,258420983,255833700,260370821,362072134,358751218,364636031,1293725636,1282349238,1302641376,258725970,256413440,260519082,
0.5,0.2,0.1,20.0,90.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,92341,84011,100918,317073,279375,363833,90800,82569,99289,4485163,2904184,7039452,19685054,11545294,33840414,4424293,2860479,6946341,218145795,111968158,376216171,671045809,381414650,999718583,215019269,110235946,369870049,917052548,794132323,1004052562,1270149964,1218658387,1300843130,899142261,779804990,983262334,1053699294,1031719062,1068759296,1296783405,1281144275,1308915884,1029139532,1008251972,1043444198,1064239106,1052894647,1073450395,1298926965,1286179268,1309650568,1038466198,1027520498,1047403928,
0.5,0.4,0.1,40.0,90.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,109380,101452,118005,431542,382575,492578,104874,97270,113210,5267900,3337986,8036022,24846441,14389429,40656536,5086340,3219454,7765950,218660025,113700861,352704647,717142380,413356664,1007653034,210573000,109540471,339349859,743156995,656460619,795907601,1262961832,1207266544,1293394240,704905788,625126513,752641386,820798805,804376334,831646650,1291139666,1274081008,1303424023,771292978,756897934,780780221,827436974,818061687,834554194,1293951783,1280382479,1304489425,776004791,767412675,782555195,
0.5,0.6,0.1,60.0,90.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,130486,118835,143040,669206,571313,783124,119459,108529,131129,7583073,4386448,12238119,44174897,24083531,75187792,7027268,4055752,11357476,254063072,144327638,367700020,910049861,602975182,1139521303,233026345,132812444,335644492,558685690,517773659,582407484,1270297673,1228111071,1294697811,494501023,461454840,512634735,590345696,579944713,597416717,1289862714,1272553979,1302195316,514931291,506818917,520467248,593955261,586853589,599204344,1292159632,1277555909,1303106093,516729853,510728723,521189098,
0.5,0.8,0.1,80.0,90.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,150288,134818,166471,1148696,984212,1347727,121040,108058,134765,8361100,4915629,13374765,69891478,39705052,115565224,6889002,4012468,11047345,190308592,125483421,248657693,977668565,735870235,1146791567,151450312,101154350,195454236,335827183,316075748,348579730,1254537990,1215470349,1279746126,247183335,235478003,254214762,354568235,347736011,359522255,1274887798,1255868159,1289151364,254595349,250445410,257645995,357353035,352514302,361097181,1277642230,1261484728,1290413130,255471550,252159431,258056256,
0.5,0.2,0.1,20.0,80.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,74361,68409,81468,216889,195220,242827,73043,67148,80035,1997476,1367182,3012415,7824306,4849168,12854311,1969307,1347384,2971153,76761432,36810962,149835143,269434292,124026338,515169872,75669708,36284758,147723149,687177820,471608073,875583494,1152627778,964144654,1260540691,675117291,463983336,859064740,1012258027,953040908,1049599697,1273729458,1241245814,1296498664,989715939,932833420,1025372868,1048550560,1028596287,1064099058,1282554809,1262741483,1299244582,1023399112,1004197611,1038380987,
0.5,0.4,0.1,40.0,80.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,85835,79924,92268,292998,266534,325737,82069,76402,88300,2299497,1546297,3348808,9773799,5993680,15290912,2216979,1487959,3231996,78569438,36989147,144023195,297022924,137742524,529929673,75707216,35619953,138809397,580016738,408178368,707632757,1144850844,954559510,1247120365,553344445,390885655,672727798,791201461,748493716,816460436,1264227731,1228340429,1287465389,745384812,707136161,767707143,813740475,797603266,825467414,1274913628,1253659127,1291211108,763561918,748955064,774237550,
